Date,Time,PrimaryType,Latitude,Longitude,Location
20130101,0,DECEPTIVE PRACTICE,41.795837911,-87.58542939700001,"(41.795837911, -87.585429397)"
20130101,0,OTHER OFFENSE,41.781499104,-87.60595585600002,"(41.781499104, -87.605955856)"
20130101,1,OFFENSE INVOLVING CHILDREN,41.804053685999996,-87.608018817,"(41.804053686, -87.608018817)"
20130101,1,OFFENSE INVOLVING CHILDREN,41.781424991,-87.60595302700001,"(41.781424991, -87.605953027)"
20130101,1,THEFT,41.784157052,-87.597140631,"(41.784157052, -87.597140631)"
20130101,30,BATTERY,41.802022849000004,-87.59508400899998,"(41.802022849, -87.595084009)"
20130101,200,BATTERY,41.802842875,-87.596714044,"(41.802842875, -87.596714044)"
20130101,200,BURGLARY,41.783455232,-87.613274211,"(41.783455232, -87.613274211)"
20130101,200,THEFT,41.785197778000004,-87.613262047,"(41.785197778, -87.613262047)"
20130101,300,THEFT,41.805322323,-87.603808532,"(41.805322323, -87.603808532)"
20130101,400,BATTERY,41.808714985,-87.60435692200001,"(41.808714985, -87.604356922)"
20130101,444,BATTERY,41.783455232,-87.613274211,"(41.783455232, -87.613274211)"
20130101,500,BATTERY,41.784017858,-87.608046681,"(41.784017858, -87.608046681)"
20130101,800,OTHER OFFENSE,41.802137533,-87.58650411,"(41.802137533, -87.58650411)"
20130101,900,DECEPTIVE PRACTICE,41.798822549,-87.595010719,"(41.798822549, -87.595010719)"
20130101,900,THEFT,41.782291434,-87.60065247799999,"(41.782291434, -87.600652478)"
20130101,900,THEFT,41.781499104,-87.60595585600002,"(41.781499104, -87.605955856)"
20130101,915,BATTERY,41.803992059,-87.582202329,"(41.803992059, -87.582202329)"
20130101,1200,SEX OFFENSE,41.802158228,-87.612074589,"(41.802158228, -87.612074589)"
20130101,1215,NARCOTICS,41.808986931,-87.612661906,"(41.808986931, -87.612661906)"
20130101,1400,THEFT,41.803667488,-87.590528166,"(41.803667488, -87.590528166)"
20130101,1415,NARCOTICS,41.802896505999996,-87.606425428,"(41.802896506, -87.606425428)"
20130101,1700,THEFT,41.807866569,-87.593131591,"(41.807866569, -87.593131591)"
20130102,1,OTHER OFFENSE,41.803474875999996,-87.58369012200001,"(41.803474876, -87.583690122)"
20130102,1,DECEPTIVE PRACTICE,41.805312772,-87.61010994,"(41.805312772, -87.61010994)"
20130102,700,DECEPTIVE PRACTICE,41.795190552,-87.58800765299999,"(41.795190552, -87.588007653)"
20130102,900,THEFT,41.802415236,-87.592519489,"(41.802415236, -87.592519489)"
20130102,1329,BATTERY,41.791160785,-87.579836586,"(41.791160785, -87.579836586)"
20130102,1500,THEFT,41.789212998,-87.586661479,"(41.789212998, -87.586661479)"
20130102,1830,THEFT,41.798012584,-87.594521251,"(41.798012584, -87.594521251)"
20130103,0,CRIMINAL DAMAGE,41.80062644,-87.59046793200001,"(41.80062644, -87.590467932)"
20130103,542,OTHER OFFENSE,41.783189705,-87.599501955,"(41.783189705, -87.599501955)"
20130103,800,DECEPTIVE PRACTICE,41.803404268,-87.61253374799999,"(41.803404268, -87.612533748)"
