Date,Time,PrimaryType,Latitude,Longitude,Location,type_weight,date_weight,weight
20130101,0,DECEPTIVE PRACTICE,41.795837911,-87.58542939700001,"(41.795837911, -87.585429397)",100,0.00028627366445463,0.028627366445463
20130101,0,OTHER OFFENSE,41.781499104,-87.60595585600002,"(41.781499104, -87.605955856)",100,0.00028627366445463,0.028627366445463
20130101,1,OFFENSE INVOLVING CHILDREN,41.804053685999996,-87.608018817,"(41.804053686, -87.608018817)",500,0.00028627366445463,0.14313683222731502
20130101,1,OFFENSE INVOLVING CHILDREN,41.781424991,-87.60595302700001,"(41.781424991, -87.605953027)",500,0.00028627366445463,0.14313683222731502
20130101,1,THEFT,41.784157052,-87.597140631,"(41.784157052, -87.597140631)",200,0.00028627366445463,0.057254732890926
20130101,30,BATTERY,41.802022849000004,-87.59508400899998,"(41.802022849, -87.595084009)",400,0.00028627366445463,0.114509465781852
20130101,200,BATTERY,41.802842875,-87.596714044,"(41.802842875, -87.596714044)",400,0.00028627366445463,0.114509465781852
20130101,200,BURGLARY,41.783455232,-87.613274211,"(41.783455232, -87.613274211)",400,0.00028627366445463,0.114509465781852
20130101,200,THEFT,41.785197778000004,-87.613262047,"(41.785197778, -87.613262047)",200,0.00028627366445463,0.057254732890926
20130101,300,THEFT,41.805322323,-87.603808532,"(41.805322323, -87.603808532)",200,0.00028627366445463,0.057254732890926
20130101,400,BATTERY,41.808714985,-87.60435692200001,"(41.808714985, -87.604356922)",400,0.00028627366445463,0.114509465781852
20130101,444,BATTERY,41.783455232,-87.613274211,"(41.783455232, -87.613274211)",400,0.00028627366445463,0.114509465781852
20130101,500,BATTERY,41.784017858,-87.608046681,"(41.784017858, -87.608046681)",400,0.00028627366445463,0.114509465781852
20130101,800,OTHER OFFENSE,41.802137533,-87.58650411,"(41.802137533, -87.58650411)",100,0.00028627366445463,0.028627366445463
20130101,900,DECEPTIVE PRACTICE,41.798822549,-87.595010719,"(41.798822549, -87.595010719)",100,0.00028627366445463,0.028627366445463
20130101,900,THEFT,41.782291434,-87.60065247799999,"(41.782291434, -87.600652478)",200,0.00028627366445463,0.057254732890926
20130101,900,THEFT,41.781499104,-87.60595585600002,"(41.781499104, -87.605955856)",200,0.00028627366445463,0.057254732890926
20130101,915,BATTERY,41.803992059,-87.582202329,"(41.803992059, -87.582202329)",400,0.00028627366445463,0.114509465781852
20130101,1200,SEX OFFENSE,41.802158228,-87.612074589,"(41.802158228, -87.612074589)",500,0.00028627366445463,0.14313683222731502
20130101,1215,NARCOTICS,41.808986931,-87.612661906,"(41.808986931, -87.612661906)",200,0.00028627366445463,0.057254732890926
20130101,1400,THEFT,41.803667488,-87.590528166,"(41.803667488, -87.590528166)",200,0.00028627366445463,0.057254732890926
20130101,1415,NARCOTICS,41.802896505999996,-87.606425428,"(41.802896506, -87.606425428)",200,0.00028627366445463,0.057254732890926
20130101,1700,THEFT,41.807866569,-87.593131591,"(41.807866569, -87.593131591)",200,0.00028627366445463,0.057254732890926
20130102,1,OTHER OFFENSE,41.803474875999996,-87.58369012200001,"(41.803474876, -87.583690122)",100,0.00114509465781852,0.114509465781852
20130102,1,DECEPTIVE PRACTICE,41.805312772,-87.61010994,"(41.805312772, -87.61010994)",100,0.00114509465781852,0.114509465781852
20130102,700,DECEPTIVE PRACTICE,41.795190552,-87.58800765299999,"(41.795190552, -87.588007653)",100,0.00114509465781852,0.114509465781852
20130102,900,THEFT,41.802415236,-87.592519489,"(41.802415236, -87.592519489)",200,0.00114509465781852,0.229018931563704
20130102,1329,BATTERY,41.791160785,-87.579836586,"(41.791160785, -87.579836586)",400,0.00114509465781852,0.458037863127408
20130102,1500,THEFT,41.789212998,-87.586661479,"(41.789212998, -87.586661479)",200,0.00114509465781852,0.229018931563704
20130102,1830,THEFT,41.798012584,-87.594521251,"(41.798012584, -87.594521251)",200,0.00114509465781852,0.229018931563704
20130103,0,CRIMINAL DAMAGE,41.80062644,-87.59046793200001,"(41.80062644, -87.590467932)",300,0.0025764629800916704,0.7729388940275012
20130103,542,OTHER OFFENSE,41.783189705,-87.599501955,"(41.783189705, -87.599501955)",100,0.0025764629800916704,0.25764629800916705
20130103,800,DECEPTIVE PRACTICE,41.803404268,-87.61253374799999,"(41.803404268, -87.612533748)",100,0.0025764629800916704,0.25764629800916705
20130103,900,THEFT,41.807101267,-87.58640244700001,"(41.807101267, -87.586402447)",200,0.0025764629800916704,0.5152925960183341
20130103,1140,THEFT,41.78131246,-87.60595063299999,"(41.78131246, -87.605950633)",200,0.0025764629800916704,0.5152925960183341
20130103,1200,CRIMINAL DAMAGE,41.796139271,-87.598103702,"(41.796139271, -87.598103702)",300,0.0025764629800916704,0.7729388940275012
20130103,1200,BATTERY,41.807101267,-87.58640244700001,"(41.807101267, -87.586402447)",400,0.0025764629800916704,1.0305851920366682
20130103,1400,BATTERY,41.781550965,-87.607212865,"(41.781550965, -87.607212865)",400,0.0025764629800916704,1.0305851920366682
20130103,1500,BATTERY,41.781212688000004,-87.60840094,"(41.781212688, -87.60840094)",400,0.0025764629800916704,1.0305851920366682
20130103,1500,THEFT,41.780415378,-87.605564801,"(41.780415378, -87.605564801)",200,0.0025764629800916704,0.5152925960183341
20130103,1545,THEFT,41.795190695,-87.588029654,"(41.795190695, -87.588029654)",200,0.0025764629800916704,0.5152925960183341
20130103,2330,NARCOTICS,41.780243493,-87.615319321,"(41.780243493, -87.615319321)",200,0.0025764629800916704,0.5152925960183341
20130103,2330,THEFT,41.794796582,-87.57936127100002,"(41.794796582, -87.579361271)",200,0.0025764629800916704,0.5152925960183341
20130104,600,THEFT,41.787821466,-87.586633625,"(41.787821466, -87.586633625)",200,0.00458037863127408,0.916075726254816
20130104,800,CRIMINAL DAMAGE,41.807161228000005,-87.603846356,"(41.807161228, -87.603846356)",300,0.00458037863127408,1.374113589382224
20130104,850,ASSAULT,41.805912213,-87.605085586,"(41.805912213, -87.605085586)",400,0.00458037863127408,1.832151452509632
20130104,900,OTHER OFFENSE,41.78138577,-87.61323136799999,"(41.78138577, -87.613231368)",100,0.00458037863127408,0.458037863127408
20130104,1225,ROBBERY,41.804057599000004,-87.607769367,"(41.804057599, -87.607769367)",400,0.00458037863127408,1.832151452509632
20130104,1600,THEFT,41.802296431,-87.60310932899998,"(41.802296431, -87.603109329)",200,0.00458037863127408,0.916075726254816
20130104,1640,THEFT,41.799533271,-87.58989742899998,"(41.799533271, -87.589897429)",200,0.00458037863127408,0.916075726254816
20130104,1900,THEFT,41.795236957,-87.583331391,"(41.795236957, -87.583331391)",200,0.00458037863127408,0.916075726254816
20130104,1900,THEFT,41.798462191999995,-87.60389734600002,"(41.798462192, -87.603897346)",200,0.00458037863127408,0.916075726254816
20130104,1944,OTHER OFFENSE,41.784153536999995,-87.597448666,"(41.784153537, -87.597448666)",100,0.00458037863127408,0.458037863127408
20130104,2130,THEFT,41.805600157,-87.59191061899998,"(41.805600157, -87.591910619)",200,0.00458037863127408,0.916075726254816
20130105,946,CRIMINAL DAMAGE,41.803417249,-87.585796054,"(41.803417249, -87.585796054)",300,0.00715684161136575,2.147052483409725
20130105,1915,NARCOTICS,41.806747062,-87.604313209,"(41.806747062, -87.604313209)",200,0.00715684161136575,1.4313683222731501
20130105,2000,BATTERY,41.782990756,-87.614478366,"(41.782990756, -87.614478366)",400,0.00715684161136575,2.8627366445463003
20130105,2300,CRIMINAL DAMAGE,41.799978827,-87.606344711,"(41.799978827, -87.606344711)",300,0.00715684161136575,2.147052483409725
20130106,2,THEFT,41.792796281,-87.591629145,"(41.792796281, -87.591629145)",200,0.010305851920366682,2.0611703840733364
20130106,100,BATTERY,41.784938875,-87.604409985,"(41.784938875, -87.604409985)",400,0.010305851920366682,4.122340768146673
20130106,125,THEFT,41.79799511,-87.596072759,"(41.79799511, -87.596072759)",200,0.010305851920366682,2.0611703840733364
20130106,1400,ASSAULT,41.795191528000004,-87.58815799799999,"(41.795191528, -87.588157998)",400,0.010305851920366682,4.122340768146673
20130106,2000,BATTERY,41.807584364,-87.61525252,"(41.807584364, -87.61525252)",400,0.010305851920366682,4.122340768146673
20130106,2045,ROBBERY,41.807169957,-87.612619915,"(41.807169957, -87.612619915)",400,0.010305851920366682,4.122340768146673
20130106,2215,BATTERY,41.806668916999996,-87.615435134,"(41.806668917, -87.615435134)",400,0.010305851920366682,4.122340768146673
20130106,2230,THEFT,41.799058715,-87.589081404,"(41.799058715, -87.589081404)",200,0.010305851920366682,2.0611703840733364
20130106,2245,ASSAULT,41.807764298,-87.60244569299999,"(41.807764298, -87.602445693)",400,0.010305851920366682,4.122340768146673
20130107,737,BATTERY,41.781732477,-87.593083923,"(41.781732477, -87.593083923)",400,0.014027409558276874,5.610963823310749
20130107,820,BATTERY,41.783279429000004,-87.608447325,"(41.783279429, -87.608447325)",400,0.014027409558276874,5.610963823310749
20130107,1530,BATTERY,41.797936811,-87.60630177700001,"(41.797936811, -87.606301777)",400,0.014027409558276874,5.610963823310749
20130107,1600,ASSAULT,41.808448953,-87.612645927,"(41.808448953, -87.612645927)",400,0.014027409558276874,5.610963823310749
20130107,1625,BATTERY,41.781753672,-87.594671259,"(41.781753672, -87.594671259)",400,0.014027409558276874,5.610963823310749
20130107,1740,ROBBERY,41.781279554,-87.612048296,"(41.781279554, -87.612048296)",400,0.014027409558276874,5.610963823310749
20130107,2205,NARCOTICS,41.805303091,-87.603805083,"(41.805303091, -87.603805083)",200,0.014027409558276874,2.8054819116553746
20130108,230,BATTERY,41.797215185,-87.59812807799999,"(41.797215185, -87.598128078)",400,0.01832151452509632,7.328605810038528
20130108,330,THEFT,41.805070858,-87.611352376,"(41.805070858, -87.611352376)",200,0.01832151452509632,3.664302905019264
20130108,630,MOTOR VEHICLE THEFT,41.790857624000004,-87.607771565,"(41.790857624, -87.607771565)",300,0.01832151452509632,5.496454357528896
20130108,900,OTHER OFFENSE,41.784754925,-87.588143196,"(41.784754925, -87.588143196)",100,0.01832151452509632,1.832151452509632
20130108,1230,THEFT,41.789345576,-87.593154019,"(41.789345576, -87.593154019)",200,0.01832151452509632,3.664302905019264
20130108,1400,DECEPTIVE PRACTICE,41.799545853000005,-87.58887405600002,"(41.799545853, -87.588874056)",100,0.01832151452509632,1.832151452509632
20130108,1800,ASSAULT,41.805199875999996,-87.61135826299999,"(41.805199876, -87.611358263)",400,0.01832151452509632,7.328605810038528
20130108,1947,BATTERY,41.802181452,-87.610530255,"(41.802181452, -87.610530255)",400,0.01832151452509632,7.328605810038528
20130108,2100,THEFT,41.805013233000004,-87.61135302299999,"(41.805013233, -87.611353023)",200,0.01832151452509632,3.664302905019264
20130109,2,CRIMINAL DAMAGE,41.809104714,-87.604363507,"(41.809104714, -87.604363507)",300,0.023188166820825033,6.95645004624751
20130109,330,THEFT,41.804977559,-87.611353424,"(41.804977559, -87.611353424)",200,0.023188166820825033,4.637633364165007
20130109,1115,THEFT,41.782348043,-87.595775387,"(41.782348043, -87.595775387)",200,0.023188166820825033,4.637633364165007
20130109,1308,ROBBERY,41.796552954,-87.58397983100002,"(41.796552954, -87.583979831)",400,0.023188166820825033,9.275266728330013
20130109,1430,MOTOR VEHICLE THEFT,41.803119598,-87.609595454,"(41.803119598, -87.609595454)",300,0.023188166820825033,6.95645004624751
20130109,1700,MOTOR VEHICLE THEFT,41.80085882,-87.602307786,"(41.80085882, -87.602307786)",300,0.023188166820825033,6.95645004624751
20130109,1900,MOTOR VEHICLE THEFT,41.797936811,-87.60630177700001,"(41.797936811, -87.606301777)",300,0.023188166820825033,6.95645004624751
20130109,2010,OTHER OFFENSE,41.807499342,-87.59023448200001,"(41.807499342, -87.590234482)",100,0.023188166820825033,2.3188166820825034
20130109,2030,MOTOR VEHICLE THEFT,41.805422422,-87.58650264,"(41.805422422, -87.58650264)",300,0.023188166820825033,6.95645004624751
20130109,2055,ROBBERY,41.80861038,-87.60387393200001,"(41.80861038, -87.603873932)",400,0.023188166820825033,9.275266728330013
20130109,2115,THEFT,41.802444779,-87.589871109,"(41.802444779, -87.589871109)",200,0.023188166820825033,4.637633364165007
20130109,2230,MOTOR VEHICLE THEFT,41.799204348,-87.584044296,"(41.799204348, -87.584044296)",300,0.023188166820825033,6.95645004624751
20130109,2235,ROBBERY,41.781462605,-87.61323050899998,"(41.781462605, -87.613230509)",400,0.023188166820825033,9.275266728330013
20130109,2245,ROBBERY,41.781275961,-87.613225264,"(41.781275961, -87.613225264)",400,0.023188166820825033,9.275266728330013
20130110,240,BATTERY,41.79462520000001,-87.582524405,"(41.7946252, -87.582524405)",400,0.028627366445463,11.450946578185201
20130110,1020,THEFT,41.798784161,-87.599727485,"(41.798784161, -87.599727485)",200,0.028627366445463,5.725473289092601
20130110,1110,OTHER OFFENSE,41.780268419,-87.614039475,"(41.780268419, -87.614039475)",100,0.028627366445463,2.8627366445463003
20130110,1200,OTHER OFFENSE,41.781629386,-87.614445908,"(41.781629386, -87.614445908)",100,0.028627366445463,2.8627366445463003
20130110,1430,THEFT,41.781821553,-87.586494251,"(41.781821553, -87.586494251)",200,0.028627366445463,5.725473289092601
20130110,1630,BATTERY,41.788519879,-87.606096507,"(41.788519879, -87.606096507)",400,0.028627366445463,11.450946578185201
20130110,1800,BURGLARY,41.806933706,-87.604318429,"(41.806933706, -87.604318429)",400,0.028627366445463,11.450946578185201
20130110,1830,BATTERY,41.791044692,-87.59024121200001,"(41.791044692, -87.590241212)",400,0.028627366445463,11.450946578185201
20130110,1955,DECEPTIVE PRACTICE,41.799533674,-87.58995977100003,"(41.799533674, -87.589959771)",100,0.028627366445463,2.8627366445463003
20130110,2005,BATTERY,41.783424215,-87.609648327,"(41.783424215, -87.609648327)",400,0.028627366445463,11.450946578185201
20130110,2230,CRIMINAL DAMAGE,41.805912213,-87.605085586,"(41.805912213, -87.605085586)",300,0.028627366445463,8.5882099336389
20130110,2345,BATTERY,41.785268355,-87.61445292399998,"(41.785268355, -87.614452924)",400,0.028627366445463,11.450946578185201
20130111,630,BURGLARY,41.783490352,-87.602754437,"(41.783490352, -87.602754437)",400,0.03463911339901024,13.855645359604097
20130111,700,CRIMINAL DAMAGE,41.789057836,-87.606108761,"(41.789057836, -87.606108761)",300,0.03463911339901024,10.391734019703073
20130111,800,THEFT,41.781811321,-87.59467426399998,"(41.781811321, -87.594674264)",200,0.03463911339901024,6.927822679802048
20130111,815,BATTERY,41.795739674000004,-87.59655701700001,"(41.795739674, -87.596557017)",400,0.03463911339901024,13.855645359604097
20130111,1240,NARCOTICS,41.780247905,-87.615146952,"(41.780247905, -87.615146952)",200,0.03463911339901024,6.927822679802048
20130111,1424,OTHER OFFENSE,41.780247905,-87.615146952,"(41.780247905, -87.615146952)",100,0.03463911339901024,3.463911339901024
20130111,1630,THEFT,41.780542335999996,-87.59407287299999,"(41.780542336, -87.594072873)",200,0.03463911339901024,6.927822679802048
20130111,1837,THEFT,41.799533271,-87.58989742899998,"(41.799533271, -87.589897429)",200,0.03463911339901024,6.927822679802048
20130111,1900,CRIMINAL DAMAGE,41.802847689000004,-87.611303981,"(41.802847689, -87.611303981)",300,0.03463911339901024,10.391734019703073
20130111,1921,CRIMINAL DAMAGE,41.802111489,-87.606401292,"(41.802111489, -87.606401292)",300,0.03463911339901024,10.391734019703073
20130111,2045,CRIMINAL DAMAGE,41.80281416,-87.606422691,"(41.80281416, -87.606422691)",300,0.03463911339901024,10.391734019703073
20130111,2130,THEFT,41.795191528000004,-87.58815799799999,"(41.795191528, -87.588157998)",200,0.03463911339901024,6.927822679802048
20130111,2330,BATTERY,41.784021864,-87.607811974,"(41.784021864, -87.607811974)",400,0.03463911339901024,13.855645359604097
20130112,145,THEFT,41.798628606,-87.60547245299999,"(41.798628606, -87.605472453)",200,0.04122340768146673,8.244681536293346
20130112,200,BATTERY,41.801709383,-87.596697686,"(41.801709383, -87.596697686)",400,0.04122340768146673,16.48936307258669
20130112,630,BATTERY,41.808468184,-87.61264938,"(41.808468184, -87.61264938)",400,0.04122340768146673,16.48936307258669
20130112,1000,OTHER OFFENSE,41.799204348,-87.584044296,"(41.799204348, -87.584044296)",100,0.04122340768146673,4.122340768146673
20130112,1100,CRIMINAL DAMAGE,41.799046916,-87.587262485,"(41.799046916, -87.587262485)",300,0.04122340768146673,12.367022304440018
20130112,1132,BATTERY,41.783232282,-87.61448300100002,"(41.783232282, -87.614483001)",400,0.04122340768146673,16.48936307258669
20130112,1340,BURGLARY,41.802670433,-87.614984635,"(41.802670433, -87.614984635)",400,0.04122340768146673,16.48936307258669
20130112,1457,THEFT,41.79946087,-87.596121972,"(41.79946087, -87.596121972)",200,0.04122340768146673,8.244681536293346
20130112,1900,BATTERY,41.784882919,-87.612066576,"(41.784882919, -87.612066576)",400,0.04122340768146673,16.48936307258669
